epoch;acc;loss;val_acc;val_loss
0;0.9435099228701261;0.14065252886156063;0.9407067095340157;0.1335702162428652
0;0.9425901312959224;0.14288489599357837;0.936249469216344;0.14469206356363787
0;0.9412815027665876;0.1457134435228286;0.9442905337906708;0.1337651102972651
1;0.9440056322247539;0.13562058378739408;0.9416731184600753;0.13376611803544827
2;0.9424952549630597;0.13775142620134093;0.9452383654777186;0.12766189977567918
0;0.9518991027559552;0.23465891214852622;0.966455129640443;0.23359368455463222
1;0.9565287956169674;0.1922067702980712;0.966446870139667;0.1887244272178837
2;0.9605741096394402;0.14131633938814048;0.9664638404335294;0.16532739012369088
3;0.9723879460777555;0.11070713944874504;0.966458478144237;0.1637130982708186
4;0.9673319182225636;0.11387471344122398;0.9664609347070966;0.16395465487896996
5;0.9486950912645885;0.15412028269409866;0.9664649558918816;0.15778351182650244
6;0.9491656252316066;0.16307403180066363;0.9664680766207832;0.21015512288015867
7;0.9708991029432842;0.10846624802798033;0.9664595936025892;0.19010886415240488
8;0.9652408489159175;0.12529387710050546;0.9664676317146846;0.18264215585492952
9;0.9486721009016037;0.15255806677409314;0.9664647302457264;0.1832458765046405
10;0.977331919329507;0.07526232083494376;0.9664631656238011;0.1910403974824086
11;0.9739897293703896;0.10798684897599742;0.9664667397737503;0.1899718627038445
12;0.9756430791957038;0.09054354634801191;0.9664678552321025;0.17692941180887697
13;0.9357049082006726;0.18583477461860248;0.9664640596934727;0.1733008723063644
14;0.9644453142370496;0.11114604182304381;0.9664651772805622;0.167131765560563
15;0.9775160700082779;0.07735285755812324;0.9664618266480309;0.15903360285249488
16;0.9791874949421201;0.07940619512061987;0.9664549082517624;0.1834705836312683
17;0.9587508972202029;0.12431975229160994;0.9664698647601264;0.20445757378391655
18;0.9769100504262107;0.09994346106291882;0.9664700882775443;0.17817867037540833
19;0.9430950901338032;0.1799141416475842;0.9664698647601264;0.16115319004997478
20;0.9300227697406497;0.2106922028553007;0.9664698647601264;0.15484883583017758
21;0.961435718195779;0.11438335395152015;0.9664698647601264;0.14828943533107772
22;0.9478627230439868;0.1563381645994793;0.9664694198540279;0.14325177773051628
23;0.9784312482391085;0.07940533888592784;0.9664687493017742;0.1638507756641567
24;0.9519272340195519;0.13820145547340093;0.96646919633661;0.1457767513264636
25;0.9738140617098127;0.11449530546919309;0.9664078056812286;0.1646356474874275
26;0.9656595992190498;0.14138309467983032;0.9663879488195691;0.1761306110503418
27;0.9671926328114101;0.1328752588347665;0.966143969978605;0.24481587519403547
28;0.9510167390108109;0.18047619887095476;0.9661988828863416;0.1946204093151859
